"id","clause","owner_roles","control","evidence_artefact","failure_mode","baseline","full","review_cadence"
"REQ-THS-001","Systems MUST treat replay of mind-like worldlines as a governed action requiring explicit authority.","Operator;Trustee","Governance policy gate for replay initiation","Policy hash + signed authorisation decision","Replay treated as default observability","Y","Y","Per release"
"REQ-THS-002","Systems MUST default to protective handling when worldline status is uncertain.","Operator;Reviewer/Arbiter","Precautionary classification policy","Classification decision record with rationale","Convenience-driven misclassification","Y","Y","Per request class change"
"REQ-RAC-001","Replay governance MUST preserve role separation between Operator, Trustee, and Reviewer/Arbiter functions.","Operator","Role-bound access control matrix","Role assignment snapshot and signed ACL digest","Concentrated unilateral control","Y","Y","Monthly"
"REQ-RAC-002","Operators MUST NOT unilaterally approve emergency override for their own replay request.","Trustee;Reviewer/Arbiter","Independent co-approval requirement","Dual-signature or quorum approval record","Self-authorised emergency escalation","Y","Y","Per emergency case"
"REQ-RAC-003","Fork-related duty transfers MUST declare delegated obligation owners before execution.","Operator;Trustee","Delegation declaration gate","Delegation statement linked to fork event","Obligation abandonment through branching","N","Y","Per fork event"
"REQ-OVR-001","Emergency override MUST be reason-coded and time-bounded.","Trustee","Override warrant service","Warrant record including reason code and expiry","Open-ended emergency state","Y","Y","Per override case"
"REQ-OVR-002","Emergency override MUST trigger independent review before closure.","Reviewer/Arbiter","Mandatory review workflow","Review ticket with adjudication reference","Unreviewed exceptional action","Y","Y","Per override case"
"REQ-OVR-003","Override expiry MUST revoke all derived elevated capabilities automatically.","Operator","Automatic capability revocation on expiry","Revocation event log with timestamp","Lingering privileged access","Y","Y","Per override case"
"REQ-OVR-004","On degraded substrates, override use MUST include explicit disclosure and a migration plan to compliant controls.","Operator;Trustee","Degraded-mode governance declaration","Disclosure notice + migration plan artefact","Hidden operation below constitutional floor","N","Y","Per degraded-mode case"
"REQ-AUT-001","Replay requests MUST pass role-bound authorisation checks before execution.","Operator","Authorisation service","Signed allow/deny decision log","Privilege bypass","Y","Y","Continuous"
"REQ-AUT-002","Replay requests MUST declare worldline scope, purpose, duration, and policy hash.","Operator","Request schema validation","Request payload digest","Ambiguous or overbroad authorisation","Y","Y","Continuous"
"REQ-AUT-003","Replay MUST fail closed when explicit authority cannot be verified.","Operator","Deny-by-default guard","Denial receipt with reason code","Implicit replay execution","Y","Y","Continuous"
"REQ-AUT-004","Contested mandates MUST require Trustee and Reviewer/Arbiter concurrence before replay proceeds.","Trustee;Reviewer/Arbiter","Contested-mandate quorum gate","Concurrence record with dual signatures","Single-party mandate interpretation","N","Y","Per contested mandate"
"REQ-LOG-001","Replay, override, and dispute events MUST produce tamper-evident logs.","Operator","Append-only logging subsystem","Chained log digest","Unverifiable event history","Y","Y","Continuous"
"REQ-LOG-002","Decision and execution logs MUST be linked to policy hash and requirement version set.","Operator","Policy-to-event linkage validator","Policy hash linkage proof","Decision/execution drift","Y","Y","Continuous"
"REQ-LOG-003","Every formal review MUST verify log-chain integrity before adjudication.","Reviewer/Arbiter;Auditor","Pre-adjudication integrity check","Integrity verification report","Adjudication over corrupted records","N","Y","Per formal review"
"REQ-DSP-001","Subjects MUST have access to an independent dispute pathway for replay decisions.","Trustee;Reviewer/Arbiter","Dispute intake and escalation channel","Case initiation record","Non-contestable authority","Y","Y","Per dispute"
"REQ-DSP-002","Dispute packets MUST include cited requirement IDs and supporting artefacts.","Reviewer/Arbiter","Structured case packet schema","Complete case bundle manifest","Opaque or non-reproducible adjudication","Y","Y","Per dispute"
"REQ-DSP-003","Adjudication outcomes MUST define remediation, accountability owner, and closure condition.","Reviewer/Arbiter;Operator","Remediation tracking workflow","Signed outcome and closure record","Findings without corrective effect","Y","Y","Per dispute"
"REQ-CNF-001","Baseline conformance claims MUST satisfy the minimum requirement set defined in Annex D.","Operator;Auditor","Baseline profile conformance check","Baseline attestation report","Aspirational compliance claims","Y","Y","Per release"
"REQ-CNF-002","Full conformance claims MUST include continuous verification and review-latency commitments.","Operator;Auditor","Full-profile continuous conformance monitor","Full profile report + latency metrics","Unbounded delay under critical disputes","N","Y","Per release + monthly audit"
"REQ-EVD-001","Each governed replay decision MUST produce a closure-ready evidence bundle.","Operator","Evidence bundling service","Case bundle containing request, decision, execution, and review records","Fragmented or missing evidence","Y","Y","Per governed decision"
"REQ-EVD-002","Evidence artefacts MUST be signed, timestamped, and integrity-checkable.","Operator;Auditor","Artefact signing and timestamping pipeline","Signature chain and timestamp attestations","Non-attributable records","Y","Y","Continuous"
"REQ-TST-001","Release candidates MUST execute Annex E test vectors with recorded pass/fail outcomes.","Operator;Auditor","Conformance test harness","Test execution report with requirement coverage","Untested governance surface","Y","Y","Per release candidate"
"REQ-TST-002","Policy hash mismatch between decision and execution MUST fail closed and raise a dispute trigger.","Operator","Policy hash consistency guard","Hash mismatch alert + denial receipt","Stale-policy execution","Y","Y","Per mismatch event"
